start,end,event,,Location,ST Number
1690915129.9349,1690915132.86613,deep exhale,,,
1690915203.8864,1690915206.05552,tilted head,,,
1690915316.91982,1690915319.13883,swallowed,,,
1690915396.16697,1690915399.47301,rubbed nose,,,
1690915552.80803,1690915555.14224,swallowed,,,
1690915639.11593,1690915641.7588,smiling,,,
1690915681.66717,1690915686.41048,switch balance,,,
1690915982.14592,1690915987.56455,back to normal,,,
1690916370.98685,1690916374.40766,scratched nose,,,
1690916395.67248,1690916397.91369,stopped,,,
,,,,,
1690915574.97654,1690915578.19999,stopped,,,
1690915585.03225,1690915587.21105,start,,,
1690916195.7825,1690916198.07646,stopped,,,
1690916203.80127,1690916208.19026,started,,,
1690916405.8419,1690916408.08787,started,,,